Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Total Cooling Energy [J](TimeStep) 
 02/21  21:15:00,16.2,3.0,19.37306595855105,11.906213743318546,25.0,0.0,15.6,25.0,0.0 
 02/21  21:30:00,16.2,3.0,19.395034171203734,11.908404671688182,25.0,0.0,15.6,25.0,0.0 
 02/21  21:45:00,16.2,3.0,19.412358875393126,11.91067577502058,25.0,0.0,15.6,25.0,0.0 
 02/21  22:00:00,16.2,3.0,19.427341978819518,11.91294794096982,25.0,0.0,15.6,25.0,0.0 
 02/21  22:15:00,16.2,2.69079,19.393116612783009,11.915197741908655,24.0,0.0,15.6,24.0,0.0 
 02/21  22:30:00,16.2,2.69079,19.34511710978012,11.917357876579514,24.0,0.0,15.6,24.0,0.0 
 02/21  22:45:00,16.2,2.69079,19.31107269749682,11.919406377476042,24.0,0.0,15.6,24.0,0.0 
 02/21  23:00:00,16.2,2.69079,19.293301246069384,11.921340832183322,24.0,0.0,15.6,24.0,0.0 
 02/21  23:15:00,16.2,3.0,19.274096005238968,11.923162936845224,24.0,0.0,15.6,24.0,0.0 
 02/21  23:30:00,16.2,3.0,19.248294327108448,11.924803663733478,24.0,0.0,15.6,24.0,0.0 
 02/21  23:45:00,16.2,3.0,19.220529957480868,11.92623200633938,24.0,0.0,15.6,24.0,0.0 
 02/21  24:00:00,16.2,3.0,19.194958781135907,11.92744810695069,24.0,0.0,15.6,24.0,0.0 
 08/21  00:15:00,26.271500000000004,3.0,24.000003940487955,24.604934522989927,24.0,0.0,15.6,24.0,2033048.560105505 
 08/21  00:30:00,26.165000000000004,3.0,24.000004039803704,24.47550499032071,24.0,0.0,15.6,24.0,1925270.9468942618 
 08/21  00:45:00,26.058500000000003,3.0,24.0000041133487,24.35099804655555,24.0,0.0,15.6,24.0,1831241.445083646 
 08/21  01:00:00,25.952000000000007,3.0,24.000004226797885,24.230207389862785,24.0,0.0,15.6,24.0,1747353.572827756 
 08/21  01:15:00,25.881000000000005,2.69079,24.000004218456885,24.117539865908467,24.0,0.0,15.6,24.0,1631163.1025305023 
