Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),LIVING_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),MAIN ELECTRIC HEATING COIL_UNIT1:Heating Coil Heating Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Electricity Energy [J](TimeStep),Averaged Building Temperature:PythonPlugin:OutputVariable [C](TimeStep) 
 02/21  17:15:00,16.2,1.6593,18.725718385979105,11.906053346645548,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  17:30:00,16.2,1.6593,18.82532197071465,11.905839056101332,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  17:45:00,16.2,1.6593,18.898939667421666,11.905756431091687,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  18:00:00,16.2,1.6593,18.947435463640049,11.905826665003433,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  18:15:00,16.2,2.69079,19.056649924649418,11.906068732242059,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  18:30:00,16.2,2.69079,19.172207696650959,11.906497512326676,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  18:45:00,16.2,2.69079,19.25826141457495,11.907123056746336,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  19:00:00,16.2,2.69079,19.316848838084593,11.907952040989502,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  19:15:00,16.2,2.69079,19.369062599979018,11.908988190668954,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  19:30:00,16.2,2.69079,19.419211543509236,11.910230849853715,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  19:45:00,16.2,2.69079,19.465894753409616,11.91167329333826,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  20:00:00,16.2,2.69079,19.50939576766905,11.913302029269703,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  20:15:00,16.2,2.69079,19.550691645156364,11.915097426562623,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  20:30:00,16.2,2.69079,19.58810371590119,11.917035413856347,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  20:45:00,16.2,2.69079,19.621706295117787,11.919089463548073,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  21:00:00,16.2,2.69079,19.652541000846573,11.921232433639386,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  21:15:00,16.2,3.0,19.678637244360723,11.923340458458908,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  21:30:00,16.2,3.0,19.699330082387385,11.925511219015565,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  21:45:00,16.2,3.0,19.7161167600025,11.92776102573868,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  22:00:00,16.2,3.0,19.730922681124377,11.93001181774034,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  22:15:00,16.2,2.69079,19.69666053559196,11.93224020767093,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  22:30:00,16.2,2.69079,19.64894037737556,11.93431761939947,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  22:45:00,16.2,2.69079,19.61513148621241,11.936319487296029,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  23:00:00,16.2,2.69079,19.59740083844221,11.938258653234316,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  23:15:00,16.2,3.0,19.57714722075836,11.94008893192506,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  23:30:00,16.2,3.0,19.550836651717924,11.941723685913166,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  23:45:00,16.2,3.0,19.523244875269389,11.943140065202578,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  24:00:00,16.2,3.0,19.498078105009836,11.94434603728667,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 08/21  00:15:00,26.271500000000004,3.0,23.300006302482854,24.582956379823437,0.0,1470081.3458658246,23.3,0.0,0.0,0.0,15.0,23.3,,2331143.536421154,652782.8337028734,0.0 
 08/21  00:30:00,26.165000000000004,3.0,23.30000641562508,24.451366097985347,0.0,1404111.4245369309,23.3,0.0,0.0,0.0,15.0,23.3,,2244636.2803429567,628323.1042143677,0.0 
 08/21  00:45:00,26.058500000000003,3.0,23.300006558652908,24.325390107691459,0.0,1346419.214766661,23.3,0.0,0.0,0.0,15.0,23.3,,2169853.5762114829,606933.245138444,0.0 
 08/21  01:00:00,25.952000000000007,3.0,23.300006631919965,24.203730704604256,0.0,1293884.946341939,23.3,0.0,0.0,0.0,15.0,23.3,0.0,2101807.7798925854,587338.8307395761,0.0 
 08/21  01:15:00,25.881000000000005,2.69079,23.30000663699268,24.090590377889354,0.0,1220621.3250167259,23.3,0.0,0.0,0.0,15.0,23.3,,1997983.0935595365,558835.2649593395,0.0 
 08/21  01:30:00,25.810000000000004,2.69079,23.300006664036574,23.986855572047554,0.0,1177025.5606143627,23.3,0.0,0.0,0.0,15.0,23.3,,1940713.6413047133,542515.6642523876,0.0 
 08/21  01:45:00,25.739000000000006,2.69079,23.30000669278146,23.891178020842355,0.0,1137790.845469745,23.3,0.0,0.0,0.0,15.0,23.3,,1889190.5314892238,527741.0471883596,0.0 
 08/21  02:00:00,25.668000000000004,2.69079,23.300006721562636,23.801320582894726,0.0,1101530.277083396,23.3,0.0,0.0,0.0,15.0,23.3,0.0,1841283.538894571,513955.87808696788,0.0 
 08/21  02:15:00,25.614750000000006,3.0,23.300006674291195,23.718165027565349,0.0,1088124.746780845,23.3,0.0,0.0,0.0,15.0,23.3,,1830406.2156012513,510094.9086526644,0.0 
 08/21  02:30:00,25.561500000000004,3.0,23.30000674290389,23.64153163263445,0.0,1057884.786107289,23.3,0.0,0.0,0.0,15.0,23.3,,1790244.7771450668,498599.6309904836,0.0 
 08/21  02:45:00,25.508250000000005,3.0,23.300006755709977,23.570611351491264,0.0,1030045.8157203727,23.3,0.0,0.0,0.0,15.0,23.3,,1753058.834132967,487921.0309863098,0.0 
 08/21  03:00:00,25.455000000000007,3.0,23.300006758187008,23.503798327460243,0.0,1003991.6701666105,23.3,0.0,0.0,0.0,15.0,23.3,0.0,1717958.5853700229,477823.2162465473,0.0 
