Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),LIVING_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),MAIN ELECTRIC HEATING COIL_UNIT1:Heating Coil Heating Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Electricity Energy [J](TimeStep),Averaged Building Temperature:PythonPlugin:OutputVariable [C](TimeStep) 
 02/21  02:45:00,16.2,3.0,19.141032308477344,11.943823425569372,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  03:00:00,16.2,3.0,19.121761886339657,11.942809112567986,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  03:15:00,16.2,2.69079,19.085493576856334,11.941702731082268,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  03:30:00,16.2,2.69079,19.04949733655747,11.940526852162322,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  03:45:00,16.2,2.69079,19.022566875526054,11.939302150497437,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  04:00:00,16.2,2.69079,19.002933327949287,11.938045322727693,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
 02/21  04:15:00,16.2,3.0,19.008789753602568,11.936808433866407,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  04:30:00,16.2,3.0,19.01824971881405,11.93558036631304,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  04:45:00,16.2,3.0,19.018755410092383,11.934336973676386,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,,0.0,0.0,0.0 
 02/21  05:00:00,16.2,3.0,19.011764152442848,11.933085159748583,0.0,0.0,24.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0 
